"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32"
"207","isiahthomas","","zeke's","basketball","resume","made","olympic","team","played","college","season","","boycotted","olympics","pros","played","","ncaa","chip","sophomore","final","","","","overall","draft","pick","sophomore","","","","team"
"208","","","","team","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"209","rsandns","ymenjoyer","isiahthomas","","","outside","magic","bird","","zeke","","best","resume","dream","team","mullin","phenomenal","player","","star","","","team","","","second","teams","zeke","finals","","",""
"210","team","","","","team","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"211","rsandns","isiahthomas","","","first","teams","second","teams","","star","","star","","finished","","","race","that’s","bird","magic","","winning","","wanted","crazy","","score","winner","ultimate","","",""
"212","rsandns","isiahthomas","","ncaa","","final","","","","","team","","second","finals","","draft","pick","made","olympic","team","college","","played","olympics","boycotted","","star","","star","","assist","leader"
"213","rsandns","ymenjoyer","isiahthomas","","stockton","made","","second","team","make","first","team","","point","","made","","","","","teams","zeke","","","team","chips","finals","","just","","year","removed"
"214","rsandns","ymenjoyer","isiahthomas","","magic","bird","","","locks","zeke","criteria","","champ","","star","","chuck","","","team","selection","","fight","","inexcusable","","","girl","panties","play","ball","instead"
"215","","dark","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"216","rsandns","ymenjoyer","isiahthomas","","like","keeping","lillard","olympic","team","","chip","bubble","bucks","","year","finals","","make","","","finals","","track","make","sense","","","","","","",""
"217","rsandns","ymenjoyer","isiahthomas","","","","player","right","first","second","team","","wins","back","back","chips","finals","","loses","","bulls","mullins","drexler","","spot","","even","drop","blew","teams","",""
"218","rsandns","isiahthomas","","jerry","west","","wade","elgin","baylor","zeke","never","","","","caught","magic","bird","mvps","","even","","second","greatest","","time","speaks","volumes","","","","",""
"219","rsandns","isiahthomas","","standard","","curry","zeke","rules","","","back","back","","","","","","","","","","","","","","","","","","","",""
"220","rsandns","ymenjoyer","isiahthomas","","widely","","team","season","resume","career","resume","","year","removed","second","chip","finals","","summer","bulls","first","chip","","","","","","","","","",""
"221","unbiased","predictions","","luka","doncic","dpoy","rudy","gobert","coty","billy","donovan","","michael","porter","","","cade","cunningham","","patty","mills","","finals","lakers","","nets","","champion","nets","fmvp","kevin","durant"
"222","eepdllc","","raphaeldiaz","","rahmmagick","","","","queens_dude","","ianchisolm","freekeith","byronisback","statenykpod","stalling_e","","trace_avp","","baronelijoe","texan_wes","","","","rich_scan","icecxldtony","mikenieve","","","__shank","dan_ny_b","","always"
"223","getting","elite","","building","that’s","thread","constantly","bickers","whether","randle","elite","rational","","tweets","","align","looking","reasons","keep","getting","young","","wanted","admit","","","","","","","",""
"224","","espn","undisputed","","","magic","","chips","finals","appearances","years","ridiculous","","everything","years","","","","","","","","","","","","","","","","",""
"225","","year","","officially","takes","reign","best","","although","think","might","grab","","","","","","","","","","","","","","","","","","","",""
"226","","next","","zachlavine","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"227","","award","predictions","","curry","dpoy","","","barnes","","rose","","booker","coty","monty","","","","","","","","","","","","","","","","",""
"228","","","","season","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"229","season","officially","starting","tuesday","check","latest","post","season","predictions","first","obvious","","steph","","","","award","year","","back","edit","","dubnation","","","","","","","","",""
"230","","season","sure","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"231","","","","said","starting","center","star","completely","wrong","tyson","","","","last","year","many","good","games","good","teams","also","went","","process","year","impressed","many","teams","","next","year",""
"232","heichoustan","giannis","winning","","","prolly","","injured","shai","already","averaged","","","average","","numbers","","prolly","","poole","","dpoy","gobert","","","","prolly","","thomas","jordan","clarkson","roty"
"233","prolly","","thomas","davion","sleeper","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"234","short","answer","focus","","lebron","","russ","page","mesh","","roster","together","according","game","","","everybody's","point","start","real","tuesday","","","","","","","","","","",""
"235","unbiased","","award","predictions","","jimmy","butler","dpoy","","adebayo","","","yurtseven","","tyler","herro","","tyler","herro","coty","erik","spoelstra","thoughts","","","","","","","","",""
"236","just","drafted","best","","","future","","","overall","","","","","","","","","","","","","","","","","","","","","","",""
"237","","","rankings","season","begins","wide","open","race","thescore","","","","","","","","","","","","","","","","","","","","","","",""
"238","make","lakers","winless","preseason","advantage","shooting","empty","arenas","least","predictable","","","espn","","","","","","","","","","","","","","","","","","",""
"239","","","rankings","season","begins","wide","open","race","thescore","","","","","","","","","","","","","","","","","","","","","","",""
"240","","award","predictions","","steph","curry","dpoy","","adebayo","","cade","cunningham","","","payne","","michael","porter","","coty","taylor","jenkins","","","","","","","","","",""
"241","","","","league","twice","","conference","","sure","","","finals","moses","dogged","kareem","","","","","","","","","","","","","","","","",""
"242","","isiahthomas","ballislife","","logic","nash","better","kobe","","know","kobe","","","","","","","","","","","","","","","","","","","","",""
"243","","","resume","","star","","","team","","","team","","champion","","finals","","rookie","","team","point","content","champ","consecutive","seasons","","","","","retired","celtics","",""
"244","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"245","october","","angeles","lakers","tied","boston's","","record","","","franchise","history","lebron","james","became","","player","","finals","","teams","","sports","history","oldest","triple","double","","finals","history","",""
"246","derrick","rose’s","career","resume","","star","","","","","team","","","rookie","skills","challenge","champ","youngest","","","history","","","zrvbosnqll","","","","","","","",""
"247","thread:a","historia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"248","","take","incoming","demarcus","cousins","guaranteed","","","season","averaging","steals","dont","believe","like","","basketball","think","know","better","","know","superman","","","","","","","","","",""
"249","fact","","barrett","","carry","team","finals","season","averaging","steals","dont","believe","like","","basketball","ambitious","time","tell","","","","","","","","","","","","","",""
